Object ID,Object Name,Title,Object Begin Date
13831,Woven piece,Piece,1970
42052,Hanging scroll,近代  石魯  桃花游鴨圖  卷|Ducks and Peach Blossoms,1970
74491,Towel (Tenugui),,1970
74492,Towel (Tenugui),,1970
74493,Towel (Tenugui),,1970
74494,Towel (Tenugui),,1970
74495,Towel,,1970
78952,Dress,Dress,1970
78961,Bikini,Bikini,1970
78978,Evening dress,Evening dress,1970
78984,Coat,Coat,1970
78985,Ensemble,Ensemble,1970
79010,Pumps,Pumps,1970
79011,Evening shoes,Evening shoes,1970
79067,Jacket,Jacket,1970
79068,Evening dress,Evening dress,1970
79139,Coat,Coat,1970
79189,Trousers,Trousers,1970
79191,Trousers,Trousers,1970
79198,Clogs,Clogs,1970
79199,Purse,Purse,1970
79200,Bow tie,Bow tie,1970
79205,Loafers,Loafers,1970
79206,Suit,Suit,1970
79207,Ensemble,Ensemble,1970
79208,Coat,Coat,1970
79219,Accessory Set,Accessory set,1970
79222,Evening dress,Evening dress,1970
79223,Evening ensemble,Evening ensemble,1970
79224,Evening pantsuit,Evening pantsuit,1970
79249,Mules,Mules,1970
79272,Caftan,Caftan,1970
79329,Shirt,Shirt,1970
79355,Ensemble,Ensemble,1970
79356,Dress,Dress,1970
79357,Dress,Dress,1970
79358,Suit,Suit,1970
79359,Dress,Dress,1970
79399,Ensemble,Ensemble,1970
79401,Clogs,Clogs,1970
79406,Shoes,Shoes,1970
79407,Suit,Suit,1970
79435,Sandals,Sandals,1970
79450,Belt,Belt,1970
79462,Waist Cincher,Waist cincher,1970
79502,Evening ensemble,Evening ensemble,1970
79508,Evening dress,Evening dress,1970
79548,Evening coat,Evening coat,1970
79549,Evening dress,Evening dress,1970
79566,Cape,Cape,1970
79569,Coat,Coat,1970
79579,Belt,Belt,1970
79604,Evening dress,Evening dress,1970
79605,Evening dress,Evening dress,1970
79656,Evening ensemble,Evening ensemble,1970
79760,Ensemble,Ensemble,1970
79761,Ensemble,Ensemble,1970
79766,Ensemble,Ensemble,1970
79770,Caftan,Caftan,1970
79812,Sweater,Sweater,1970
79815,Sweater,Sweater,1970
79907,Evening ensemble,Evening ensemble,1970
79911,Ensemble,Ensemble,1970
79913,Espadrilles,Espadrilles,1970
79978,Sandals,Sandals,1970
80101,Shoes,Shoes,1970
80235,Evening dress,Evening dress,1970
80243,Hat,Hat,1970
80245,Hat,Hat,1970
80246,Hat,Hat,1970
80255,Evening ensemble,Evening ensemble,1970
80316,Hat,Hat,1970
80322,Jumpsuit,Jumpsuit,1970
80352,Evening dress,Evening dress,1970
80387,Jacket,Jacket,1970
80395,Coat,Coat,1970
80412,Ensemble,Ensemble,1970
80413,Evening dress,Evening dress,1970
80499,Suit,Suit,1970
80500,Suit,Suit,1970
80600,Ensemble,Ensemble,1970
80641,Necklace,Necklace,1970
80650,Evening ensemble,Evening ensemble,1970
80659,Suit,Suit,1970
80669,Belt,Belt,1970
80698,Coat,Coat,1970
80828,Dress,Dress,1970
80829,Coat,Coat,1970
80830,Ensemble,Ensemble,1970
80831,Shirt,Shirt,1970
80832,Shirt,Shirt,1970
80870,Jodhpurs,Jodhpurs,1970
80871,Suit,Suit,1970
80874,Bathing suit,Bathing suit,1970
80877,Tank suit,Tank suit,1970
80878,Coat,Coat,1970
80879,Evening sandals,Evening sandals,1970
81015,Sweater,Sweater,1970
81019,Ensemble,Ensemble,1970
81049,Evening ensemble,Evening ensemble,1970
81053,Trousers,Trousers,1970
81054,Ensemble,Ensemble,1970
81055,Jumpsuit,Jumpsuit,1970
81056,Skirt,Skirt,1970
81057,Skirt,Skirt,1970
81058,Ensemble,Ensemble,1970
81059,Ensemble,Ensemble,1970
81060,Ensemble,Ensemble,1970
81061,Shirt,Shirt,1970
81062,Ensemble,Ensemble,1970
81063,Ensemble,Ensemble,1970
81064,Ensemble,Ensemble,1970
81065,Sweater,Sweater,1970
81066,Ensemble,Ensemble,1970
81067,Ensemble,Ensemble,1970
81068,Ensemble,Ensemble,1970
81069,Ensemble,Ensemble,1970
81070,Jumpsuit,Jumpsuit,1970
81071,Jumpsuit,Jumpsuit,1970
81072,Jumpsuit,Jumpsuit,1970
81073,Ensemble,Ensemble,1970
81074,Evening dress,Evening dress,1970
81075,Evening ensemble,Evening ensemble,1970
81076,Evening dress,Evening dress,1970
81077,Jumpsuit,Jumpsuit,1970
81078,Ensemble,Ensemble,1970
81079,Evening dress,Evening dress,1970
81080,Skirt,Skirt,1970
81081,Shirt,Shirt,1970
81082,Shirt,Shirt,1970
81083,Jacket,Jacket,1970
81144,Ensemble,Ensemble,1970
81146,Trousers,Trousers,1970
81151,Skirt,Skirt,1970
81152,Trousers,Trousers,1970
81153,Shorts,Shorts,1970
81154,Bikini,Bikini,1970
81155,Bikini,Bikini,1970
81156,Bikini,Bikini,1970
81157,Two-piece bathing suit,Two-piece bathing suit,1970
81158,Bikini,Bikini,1970
81159,Bikini,Bikini,1970
81160,Bikini,Bikini,1970
81161,Bathing suit,Bathing suit,1970
81162,Bathing suit,Bathing suit,1970
81304,Jacket,Jacket,1970
81308,Ensemble,Ensemble,1970
81391,Suit,Suit,1970
81744,Evening coat,Evening coat,1970
81764,Trousers,Trousers,1970
81780,Coat,Coat,1970
81798,Kimono,Kimono,1970
82405,Pumps,Pumps,1970
82717,Suit,Suit,1970
82718,Dress,Dress,1970
82723,Suit,Suit,1970
82725,Coat,Coat,1970
82726,Trench coat,Trench coat,1970
82727,Dress,Dress,1970
82728,Dress,Dress,1970
83242,Pantsuit,Pantsuit,1970
83244,Dress,Dress,1970
83314,Skirt,Skirt,1970
83374,Suit,Suit,1970
83513,Evening dress,Evening dress,1970
83516,Evening dress,Evening dress,1970
83597,Dress,Dress,1970
83925,Tank suit,Tank suit,1970
83929,Dress,Dress,1970
83937,Pantsuit,Pantsuit,1970
83939,Shorts,Shorts,1970
83974,Maillot,Maillot,1970
84349,Shirt,Shirt,1970
84397,Coat,Coat,1970
84400,Dress,Dress,1970
84488,Ensemble,Ensemble,1970
84514,Evening sandals,Evening sandals,1970
85176,Belt,Belt,1970
85182,Ensemble,Ensemble,1970
85438,Evening dress,Evening dress,1970
85440,Evening ensemble,Evening ensemble,1970
86512,Bikini,Bikini,1970
86513,Bathing suit,Bathing suit,1970
86516,Bathing suit,Bathing suit,1970
86682,Pantsuit,Pantsuit,1970
86720,Boots,Boots,1970
87401,Sunglasses,Sunglasses,1970
87414,Shoes,Shoes,1970
87415,Shoes,Shoes,1970
87446,Evening jumpsuit,Evening jumpsuit,1970
87577,Evening jacket,Evening jacket,1970
87946,Scarf,Scarf,1970
87966,Ensemble,"""African Mask""",1970
88281,Obi,Obi,1970
90087,Evening dress,Evening dress,1970
90579,Ensemble,Ensemble,1970
90817,Dress,Dress,1970
91210,Shirt,Shirt,1970
91213,Evening shirt,Evening shirt,1970
91233,Shirt,Shirt,1970
91235,Shirt,Shirt,1970
91236,Shirt,Shirt,1970
91237,Shirt,Shirt,1970
91787,Loungewear,Loungewear,1970
91788,Loungewear,Loungewear,1970
91807,Coat,Coat,1970
91857,Suit,Suit,1970
91862,Jumpsuit,Jumpsuit,1970
91960,Ski ensemble,Ski ensemble,1970
92095,Overcoat,Overcoat,1970
92096,Overcoat,Overcoat,1970
92097,Jacket,Jacket,1970
92107,Jacket,Jacket,1970
92117,Suit,Suit,1970
92123,Trousers,Trousers,1970
92124,Trousers,Trousers,1970
92125,Jacket,Jacket,1970
92126,Shirt,Shirt,1970
92127,Coat,Coat,1970
92130,Trousers,Trousers,1970
92131,Trousers,Trousers,1970
92132,Trousers,Trousers,1970
92138,Coat,Coat,1970
92140,Coat,Coat,1970
92142,Ensemble,Ensemble,1970
92147,Ensemble,Ensemble,1970
92165,Ensemble,Ensemble,1970
92172,Ski ensemble,Ski ensemble,1970
92186,Suit,Suit,1970
92189,Ensemble,Ensemble,1970
92212,Cocktail Dress,Cocktail dress,1970
92231,Ensemble,Ensemble,1970
92242,Evening dress,Evening dress,1970
92302,Ensemble,Ensemble,1970
92303,Suit,Suit,1970
92306,Suit,Suit,1970
92399,Clutch,Clutch,1970
92400,Purse,Purse,1970
92605,Cape,Cape,1970
92606,Ensemble,Ensemble,1970
92611,Dress,Dress,1970
92612,Ensemble,Ensemble,1970
92741,Ensemble,Ensemble,1970
92745,Ensemble,Ensemble,1970
92773,Ensemble,Ensemble,1970
92775,Skirt,Skirt,1970
92779,Trousers,Trousers,1970
92780,Halter,Halter,1970
92803,Ensemble,Ensemble,1970
92810,Dress,Dress,1970
92867,Turtleneck sweater,Turtleneck sweater,1970
92868,Turtleneck sweater,Turtleneck sweater,1970
92870,Ensemble,Ensemble,1970
93299,Purse,Purse,1970
93494,Bikini,Bikini,1970
93677,Ensemble,Ensemble,1970
93679,Dress,Dress,1970
93681,Evening ensemble,Evening ensemble,1970
93682,Ensemble,Ensemble,1970
93683,Evening ensemble,Evening ensemble,1970
93708,Dress,Dress,1970
93710,Dress,Dress,1970
94150,Evening dress,Evening dress,1970
94284,Jewelry,Jewelry  ,1970
94536,Cocktail Dress,Cocktail dress,1970
94785,Sweater,Sweater,1970
94787,Dress,Dress,1970
94962,Belt,Belt,1970
94963,Belt,Belt,1970
